Date,Momentum,Nifty50,Nifty500
2021-05-31,0.0,0.009533088035724946,0.0083326626632938
2021-06-01,0.005696228917487334,-0.0005101904286871628,-0.0012058686196835255
2021-06-02,0.016365553593805426,8.67158252806366e-05,0.0048332898661032075
2021-06-03,0.010828733718542871,0.0073284506253876724,0.008004229293507636
2021-06-04,0.010005426877606416,-0.001281017305247989,0.0010014878539126304
2021-06-07,0.004334167204686157,0.0051945814919991395,0.006402176366659962
2021-06-08,0.002969012069885313,-0.0007333060957773752,0.0012536998817080924
2021-06-09,-0.011877669601754182,-0.006654976944212576,-0.007420381204691684
2021-06-10,0.013786523283190855,0.0065492869160790335,0.009017344933946125
2021-06-11,0.006572634608236427,0.003914130633349666,0.0034511196144664247
2021-06-14,-0.006898089933831009,0.0007911718082738162,-0.0007150795385590936
2021-06-15,-0.002285289312676242,0.003630213545097627,0.00395815909469488
2021-06-16,-0.016522191290951893,-0.006408632752808119,-0.007142985807251145
2021-06-17,-0.013984930303045373,-0.0048295020472909345,-0.006324614184078481
2021-06-18,-0.0056342621005709415,-0.000513069646403852,-0.002875247975316797
2021-06-21,0.01138259960674648,0.004026588209654625,0.005195505715027027
2021-06-22,0.008430653162353918,0.0016670371193598932,0.0026010542978793794
2021-06-23,-0.008658786961748488,-0.005439749231269109,-0.0050218358944870145
2021-06-24,0.0014660039590868035,0.006597840798329813,0.003344951202910673
2021-06-25,0.008885035540961095,0.0044266891189239654,0.0052828306192160834
2021-06-28,0.001074093229991524,-0.0028782098242977616,-0.00046904545247339335
2021-06-29,-0.006033497596415471,-0.0041891404314852165,-0.003775917216446323
2021-06-30,-0.0015714572770437751,-0.0017112919035373597,-0.0006230850474872041
2021-07-01,-0.004169640558470578,-0.002639697229908089,-0.0014435854670800108
2021-07-02,-0.0026752091489403718,0.002691338986766656,0.0029991333369141504
2021-07-05,0.0033841803759198097,0.007133188273225066,0.0067657386773871675
2021-07-06,0.0015197368332109384,-0.0010167521731027085,-0.000853808172780024
